ITERATION,MEASUREMENT,VALUE,SEED,CONTROL_GOAL_SPACE,USE_RESAMPLING
82,TRANSITIONS_MOVING_GOAL[%],0.999755859375,5,False,False
83,TRANSITIONS_MOVING_GOAL[%],0.99951171875,5,False,False
84,TRANSITIONS_MOVING_GOAL[%],0.999267578125,5,False,False
85,TRANSITIONS_MOVING_GOAL[%],0.9990234375,5,False,False
86,TRANSITIONS_MOVING_GOAL[%],0.99951171875,5,False,False
87,TRANSITIONS_MOVING_GOAL[%],0.998291015625,5,False,False
88,TRANSITIONS_MOVING_GOAL[%],0.9990234375,5,False,False
89,TRANSITIONS_MOVING_GOAL[%],0.99853515625,5,False,False
90,TRANSITIONS_MOVING_GOAL[%],0.9990234375,5,False,False
91,TRANSITIONS_MOVING_GOAL[%],0.998779296875,5,False,False
92,TRANSITIONS_MOVING_GOAL[%],0.998779296875,5,False,False
93,TRANSITIONS_MOVING_GOAL[%],0.998046875,5,False,False
94,TRANSITIONS_MOVING_GOAL[%],0.9990234375,5,False,False
95,TRANSITIONS_MOVING_GOAL[%],0.997802734375,5,False,False
96,TRANSITIONS_MOVING_GOAL[%],0.9990234375,5,False,False
97,TRANSITIONS_MOVING_GOAL[%],0.99853515625,5,False,False
98,TRANSITIONS_MOVING_GOAL[%],0.996826171875,5,False,False
99,TRANSITIONS_MOVING_GOAL[%],0.998046875,5,False,False
100,TRANSITIONS_MOVING_GOAL[%],0.998046875,5,False,False
101,TRANSITIONS_MOVING_GOAL[%],0.99755859375,5,False,False
102,TRANSITIONS_MOVING_GOAL[%],0.999267578125,5,False,False
103,TRANSITIONS_MOVING_GOAL[%],0.997802734375,5,False,False
104,TRANSITIONS_MOVING_GOAL[%],0.998046875,5,False,False
105,TRANSITIONS_MOVING_GOAL[%],0.996826171875,5,False,False
106,TRANSITIONS_MOVING_GOAL[%],0.99658203125,5,False,False
107,TRANSITIONS_MOVING_GOAL[%],0.998291015625,5,False,False
108,TRANSITIONS_MOVING_GOAL[%],0.997802734375,5,False,False
109,TRANSITIONS_MOVING_GOAL[%],0.997802734375,5,False,False
110,TRANSITIONS_MOVING_GOAL[%],0.998046875,5,False,False
111,TRANSITIONS_MOVING_GOAL[%],0.9990234375,5,False,False
112,TRANSITIONS_MOVING_GOAL[%],0.998046875,5,False,False
113,TRANSITIONS_MOVING_GOAL[%],0.997802734375,5,False,False
114,TRANSITIONS_MOVING_GOAL[%],0.998046875,5,False,False
115,TRANSITIONS_MOVING_GOAL[%],0.997802734375,5,False,False
116,TRANSITIONS_MOVING_GOAL[%],0.997314453125,5,False,False
117,TRANSITIONS_MOVING_GOAL[%],0.9970703125,5,False,False
118,TRANSITIONS_MOVING_GOAL[%],0.99755859375,5,False,False
119,TRANSITIONS_MOVING_GOAL[%],0.9970703125,5,False,False
120,TRANSITIONS_MOVING_GOAL[%],0.99560546875,5,False,False
121,TRANSITIONS_MOVING_GOAL[%],0.996337890625,5,False,False
122,TRANSITIONS_MOVING_GOAL[%],0.995849609375,5,False,False
123,TRANSITIONS_MOVING_GOAL[%],0.995361328125,5,False,False
124,TRANSITIONS_MOVING_GOAL[%],0.9970703125,5,False,False
125,TRANSITIONS_MOVING_GOAL[%],0.99658203125,5,False,False
126,TRANSITIONS_MOVING_GOAL[%],0.99609375,5,False,False
127,TRANSITIONS_MOVING_GOAL[%],0.9970703125,5,False,False
128,TRANSITIONS_MOVING_GOAL[%],0.994140625,5,False,False
129,TRANSITIONS_MOVING_GOAL[%],0.995361328125,5,False,False
130,TRANSITIONS_MOVING_GOAL[%],0.9951171875,5,False,False
131,TRANSITIONS_MOVING_GOAL[%],0.993408203125,5,False,False
132,TRANSITIONS_MOVING_GOAL[%],0.99267578125,5,False,False
